transaction_id,sale_date,store_id,customer_id,product_id,staff_id,quantity,unit_price,unit_cost,total_revenue,total_cost,profit,margin_pct,payment_method,month,day_of_week,quarter,year
1,2025-11-05,1,856,9,1,1,2.2,0.9,2.2,0.9,1.3,59.1,Card,2025-11,Wednesday,Q4,2025
2,2025-08-27,1,376,15,2,2,60.92,22.0,121.84,44.0,77.84,63.9,Digital Wallet,2025-08,Wednesday,Q3,2025
3,2025-03-01,4,814,32,13,3,20.46,6.0,61.38,18.0,43.38,70.7,Digital Wallet,2025-03,Saturday,Q1,2025
4,2024-03-20,5,984,30,20,1,29.06,8.0,29.06,8.0,21.06,72.5,Card,2024-03,Wednesday,Q1,2024
5,2025-11-04,1,615,25,3,1,20.68,5.0,20.68,5.0,15.68,75.8,Card,2025-11,Tuesday,Q4,2025
6,2025-10-10,2,744,18,8,1,51.32,18.0,51.32,18.0,33.32,64.9,Digital Wallet,2025-10,Friday,Q4,2025
7,2024-09-17,2,464,29,5,4,41.92,10.0,167.68,40.0,127.68,76.1,Cash,2024-09,Tuesday,Q3,2024
8,2025-06-14,1,912,20,2,1,25.88,6.0,25.88,6.0,19.88,76.8,Card,2025-06,Saturday,Q2,2025
9,2025-12-07,4,942,36,14,1,22.06,7.0,22.06,7.0,15.06,68.3,Card,2025-12,Sunday,Q4,2025
10,2024-06-08,1,376,44,3,1,43.15,15.0,43.15,15.0,28.15,65.2,Card,2024-06,Saturday,Q2,2024
11,2024-08-10,4,741,18,13,1,50.47,18.0,50.47,18.0,32.47,64.3,Card,2024-08,Saturday,Q3,2024
12,2025-08-13,2,799,4,8,4,12.89,7.0,51.56,28.0,23.56,45.7,Digital Wallet,2025-08,Wednesday,Q3,2025
13,2025-01-26,1,537,3,3,1,7.5,4.2,7.5,4.2,3.3,44.0,Card,2025-01,Sunday,Q1,2025
14,2024-04-02,1,297,26,4,1,50.35,12.0,50.35,12.0,38.35,76.2,Card,2024-04,Tuesday,Q2,2024
15,2024-05-18,2,203,32,6,1,19.47,6.0,19.47,6.0,13.47,69.2,Card,2024-05,Saturday,Q2,2024
16,2025-03-16,2,947,26,7,1,49.23,12.0,49.23,12.0,37.23,75.6,Card,2025-03,Sunday,Q1,2025
17,2025-08-31,3,789,20,12,1,25.3,6.0,25.3,6.0,19.3,76.3,Card,2025-08,Sunday,Q3,2025
18,2024-10-21,1,711,8,3,1,10.68,5.5,10.68,5.5,5.18,48.5,Card,2024-10,Monday,Q4,2024
19,2024-07-27,3,769,17,10,1,304.83,120.0,304.83,120.0,184.83,60.6,Cash,2024-07,Saturday,Q3,2024
20,2025-01-20,3,680,34,11,1,7.75,2.5,7.75,2.5,5.25,67.7,Cash,2025-01,Monday,Q1,2025
21,2024-10-04,1,671,1,3,1,3.94,2.2,3.94,2.2,1.74,44.2,Card,2024-10,Friday,Q4,2024
22,2024-12-07,2,763,6,7,1,6.82,3.8,6.82,3.8,3.02,44.3,Loyalty Points,2024-12,Saturday,Q4,2024
23,2025-05-28,1,64,41,1,1,15.66,4.0,15.66,4.0,11.66,74.5,Digital Wallet,2025-05,Wednesday,Q2,2025
24,2024-08-18,1,919,26,4,2,50.09,12.0,100.18,24.0,76.18,76.0,Cash,2024-08,Sunday,Q3,2024
